player_names,position,team,opp,minutes,possessions,fd_points,points,assists,rebounds,offensive_rebounds,defensive_rebounds,blocks,steals,fouls,turnovers,two_pt_attempts,two_pt_fg,three_pt_attempts,three_pt_fg,free_throw_attempts,free_throws_made,roster_pos,confirmed,double_doubles,triple_doubles,injury,site,fd_std,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,timestamp,date,slate_id,gid,matchup,effective_fg_percentage,sports_book,bet_type,over/under,odds,stat_threshold
De'Anthony Melton,SG/PG,PHI,OKC,35.3907,70.939,29.0293,10.974,3.60933,5.553,1.32567,4.22733,0.65,1.84767,3.03467,1.51533,3.60533,1.69133,5.67333,2.17167,1.41,1.07633,SG/PG,False,0.0376667,0.0,,fd,8.55087,23.0,28.8,34.8,37.8,43.3,51.002,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,53.33566484815696,fanduel,player_points,Under,1.88,12.5
De'Anthony Melton,SG/PG,PHI,OKC,35.3907,70.939,29.0293,10.974,3.60933,5.553,1.32567,4.22733,0.65,1.84767,3.03467,1.51533,3.60533,1.69133,5.67333,2.17167,1.41,1.07633,SG/PG,False,0.0376667,0.0,,fd,8.55087,23.0,28.8,34.8,37.8,43.3,51.002,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,53.33566484815696,fanduel,player_points_rebounds,Over,1.9,17.5
De'Anthony Melton,SG/PG,PHI,OKC,35.3907,70.939,29.0293,10.974,3.60933,5.553,1.32567,4.22733,0.65,1.84767,3.03467,1.51533,3.60533,1.69133,5.67333,2.17167,1.41,1.07633,SG/PG,False,0.0376667,0.0,,fd,8.55087,23.0,28.8,34.8,37.8,43.3,51.002,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,53.33566484815696,fanduel,player_points_rebounds,Under,1.87,17.5
De'Anthony Melton,SG/PG,PHI,OKC,35.3907,70.939,29.0293,10.974,3.60933,5.553,1.32567,4.22733,0.65,1.84767,3.03467,1.51533,3.60533,1.69133,5.67333,2.17167,1.41,1.07633,SG/PG,False,0.0376667,0.0,,fd,8.55087,23.0,28.8,34.8,37.8,43.3,51.002,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,53.33566484815696,fanduel,player_rebounds,Over,1.87,4.5
De'Anthony Melton,SG/PG,PHI,OKC,35.3907,70.939,29.0293,10.974,3.60933,5.553,1.32567,4.22733,0.65,1.84767,3.03467,1.51533,3.60533,1.69133,5.67333,2.17167,1.41,1.07633,SG/PG,False,0.0376667,0.0,,fd,8.55087,23.0,28.8,34.8,37.8,43.3,51.002,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,53.33566484815696,fanduel,player_rebounds,Under,1.9,4.5
De'Anthony Melton,SG/PG,PHI,OKC,35.3907,70.939,29.0293,10.974,3.60933,5.553,1.32567,4.22733,0.65,1.84767,3.03467,1.51533,3.60533,1.69133,5.67333,2.17167,1.41,1.07633,SG/PG,False,0.0376667,0.0,,fd,8.55087,23.0,28.8,34.8,37.8,43.3,51.002,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,53.33566484815696,fanduel,player_threes,Over,2.12,2.5
De'Anthony Melton,SG/PG,PHI,OKC,35.3907,70.939,29.0293,10.974,3.60933,5.553,1.32567,4.22733,0.65,1.84767,3.03467,1.51533,3.60533,1.69133,5.67333,2.17167,1.41,1.07633,SG/PG,False,0.0376667,0.0,,fd,8.55087,23.0,28.8,34.8,37.8,43.3,51.002,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,53.33566484815696,fanduel,player_threes,Under,1.7,2.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_assists,Over,1.8,6.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_assists,Under,1.98,6.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_points,Over,1.94,25.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_points,Under,1.83,25.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_points_assists,Over,1.98,32.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_points_assists,Under,1.8,32.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_points_rebounds,Over,1.88,29.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_points_rebounds,Under,1.88,29.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_points_rebounds_assists,Over,1.9,36.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_points_rebounds_assists,Under,1.87,36.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_rebounds,Over,2.18,4.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_rebounds,Under,1.67,4.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_rebounds_assists,Over,1.74,10.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_rebounds_assists,Under,2.06,10.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_threes,Over,2.18,3.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_threes,Under,1.67,3.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_assists,Over,1.9,2.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_assists,Under,1.87,2.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_points,Over,1.88,17.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_points,Under,1.88,17.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_points_assists,Over,1.96,20.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_points_assists,Under,1.82,20.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_points_rebounds,Over,1.93,24.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_points_rebounds,Under,1.85,24.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_points_rebounds_assists,Over,1.8,26.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_points_rebounds_assists,Under,1.98,26.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_rebounds,Over,1.85,6.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_rebounds,Under,1.93,6.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_rebounds_assists,Over,2.0,9.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_rebounds_assists,Under,1.78,9.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_threes,Over,2.0,1.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_threes,Under,1.78,1.5
Josh Giddey,SG/PG,OKC,PHI,29.1628,59.2193,28.9038,13.278,4.271,6.298,1.39167,4.90633,0.390667,0.876,2.35167,2.13833,9.344,4.567,2.296,0.787,2.385,1.783,SG/PG,False,0.0933333,0.000666667,,fd,7.95652,23.3,28.3,34.2,37.2,42.8,49.403,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,OKC vs PHI,49.377147766323034,fanduel,player_assists,Over,1.94,4.5
Josh Giddey,SG/PG,OKC,PHI,29.1628,59.2193,28.9038,13.278,4.271,6.298,1.39167,4.90633,0.390667,0.876,2.35167,2.13833,9.344,4.567,2.296,0.787,2.385,1.783,SG/PG,False,0.0933333,0.000666667,,fd,7.95652,23.3,28.3,34.2,37.2,42.8,49.403,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,OKC vs PHI,49.377147766323034,fanduel,player_assists,Under,1.83,4.5
Josh Giddey,SG/PG,OKC,PHI,29.1628,59.2193,28.9038,13.278,4.271,6.298,1.39167,4.90633,0.390667,0.876,2.35167,2.13833,9.344,4.567,2.296,0.787,2.385,1.783,SG/PG,False,0.0933333,0.000666667,,fd,7.95652,23.3,28.3,34.2,37.2,42.8,49.403,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,OKC vs PHI,49.377147766323034,fanduel,player_points,Over,1.93,13.5
Josh Giddey,SG/PG,OKC,PHI,29.1628,59.2193,28.9038,13.278,4.271,6.298,1.39167,4.90633,0.390667,0.876,2.35167,2.13833,9.344,4.567,2.296,0.787,2.385,1.783,SG/PG,False,0.0933333,0.000666667,,fd,7.95652,23.3,28.3,34.2,37.2,42.8,49.403,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,OKC vs PHI,49.377147766323034,fanduel,player_points,Under,1.85,13.5
Josh Giddey,SG/PG,OKC,PHI,29.1628,59.2193,28.9038,13.278,4.271,6.298,1.39167,4.90633,0.390667,0.876,2.35167,2.13833,9.344,4.567,2.296,0.787,2.385,1.783,SG/PG,False,0.0933333,0.000666667,,fd,7.95652,23.3,28.3,34.2,37.2,42.8,49.403,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,OKC vs PHI,49.377147766323034,fanduel,player_points_assists,Over,1.78,17.5
Josh Giddey,SG/PG,OKC,PHI,29.1628,59.2193,28.9038,13.278,4.271,6.298,1.39167,4.90633,0.390667,0.876,2.35167,2.13833,9.344,4.567,2.296,0.787,2.385,1.783,SG/PG,False,0.0933333,0.000666667,,fd,7.95652,23.3,28.3,34.2,37.2,42.8,49.403,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,OKC vs PHI,49.377147766323034,fanduel,player_points_assists,Under,2.0,17.5
Josh Giddey,SG/PG,OKC,PHI,29.1628,59.2193,28.9038,13.278,4.271,6.298,1.39167,4.90633,0.390667,0.876,2.35167,2.13833,9.344,4.567,2.296,0.787,2.385,1.783,SG/PG,False,0.0933333,0.000666667,,fd,7.95652,23.3,28.3,34.2,37.2,42.8,49.403,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,OKC vs PHI,49.377147766323034,fanduel,player_points_rebounds,Over,1.96,19.5
Josh Giddey,SG/PG,OKC,PHI,29.1628,59.2193,28.9038,13.278,4.271,6.298,1.39167,4.90633,0.390667,0.876,2.35167,2.13833,9.344,4.567,2.296,0.787,2.385,1.783,SG/PG,False,0.0933333,0.000666667,,fd,7.95652,23.3,28.3,34.2,37.2,42.8,49.403,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,OKC vs PHI,49.377147766323034,fanduel,player_points_rebounds,Under,1.82,19.5
Josh Giddey,SG/PG,OKC,PHI,29.1628,59.2193,28.9038,13.278,4.271,6.298,1.39167,4.90633,0.390667,0.876,2.35167,2.13833,9.344,4.567,2.296,0.787,2.385,1.783,SG/PG,False,0.0933333,0.000666667,,fd,7.95652,23.3,28.3,34.2,37.2,42.8,49.403,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,OKC vs PHI,49.377147766323034,fanduel,player_points_rebounds_assists,Over,1.83,23.5
Josh Giddey,SG/PG,OKC,PHI,29.1628,59.2193,28.9038,13.278,4.271,6.298,1.39167,4.90633,0.390667,0.876,2.35167,2.13833,9.344,4.567,2.296,0.787,2.385,1.783,SG/PG,False,0.0933333,0.000666667,,fd,7.95652,23.3,28.3,34.2,37.2,42.8,49.403,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,OKC vs PHI,49.377147766323034,fanduel,player_points_rebounds_assists,Under,1.96,23.5
Josh Giddey,SG/PG,OKC,PHI,29.1628,59.2193,28.9038,13.278,4.271,6.298,1.39167,4.90633,0.390667,0.876,2.35167,2.13833,9.344,4.567,2.296,0.787,2.385,1.783,SG/PG,False,0.0933333,0.000666667,,fd,7.95652,23.3,28.3,34.2,37.2,42.8,49.403,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,OKC vs PHI,49.377147766323034,fanduel,player_rebounds,Over,1.87,5.5
Josh Giddey,SG/PG,OKC,PHI,29.1628,59.2193,28.9038,13.278,4.271,6.298,1.39167,4.90633,0.390667,0.876,2.35167,2.13833,9.344,4.567,2.296,0.787,2.385,1.783,SG/PG,False,0.0933333,0.000666667,,fd,7.95652,23.3,28.3,34.2,37.2,42.8,49.403,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,OKC vs PHI,49.377147766323034,fanduel,player_rebounds,Under,1.9,5.5
Josh Giddey,SG/PG,OKC,PHI,29.1628,59.2193,28.9038,13.278,4.271,6.298,1.39167,4.90633,0.390667,0.876,2.35167,2.13833,9.344,4.567,2.296,0.787,2.385,1.783,SG/PG,False,0.0933333,0.000666667,,fd,7.95652,23.3,28.3,34.2,37.2,42.8,49.403,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,OKC vs PHI,49.377147766323034,fanduel,player_rebounds_assists,Over,2.02,10.5
